dist_code,sum(documents_registered_rev),sum(estamps_challans_rev),percentage higher
14_5,222369632,259643466,14.355775854571284
18_2,468710318,487490413,3.852402939460473
21_3,470669601,481822419,2.3147154553636495
21_5,406109986,411976768,1.424056513788661
21_6,223359598,226443386,1.361836198651437
22_1,2050546017,2078631953,1.3511740719401901
19_4,80214380,81215078,1.2321579005317214
19_3,670067700,678036048,1.1752100826356064
17_2,8279206192,8371737803,1.1052855832016315
19_2,361076604,364938376,1.0581983847048193
20_4,639551303,645681625,0.9494341735371515
20_2,624504719,629678019,0.8215786233440046
18_1,1450690033,1461625936,0.7482012141853509
23_2,1049180140,1056956022,0.7356864276421143
19_1,382270709,385022363,0.7146738123364538
16_1,13860437338,13959081475,0.7066663890218464
21_1,2891014228,2911182033,0.6927703170528602
20_3,444996389,448051606,0.6818895321625073
23_3,2155057915,2167420833,0.5703976732053493
14_2,345533466,347408639,0.5397600374583662
15_3,530841812,533560788,0.5095906710445895
20_1,1528732748,1536003948,0.4733841999213403
17_3,1020668059,1025100002,0.4323425023269096
14_4,441597617,443219330,0.3658940145954374
14_3,518601474,520138487,0.29550072498288327
14_1,1158473523,1161429869,0.2545436516580581
23_1,1431240894,1434244136,0.20939545260235948
15_2,13176979214,13104497068,-0.5531089489652744
21_2,257707803,255680837,-0.7927719667156753
22_2,309598977,305978260,-1.1833249198815627
17_1,691743187,675347168,-2.427791183097106
